npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  6/8/2026 7:27:22 PM ::1 GET /
 HTTP  6/8/2026 7:27:22 PM ::1 Returned 200 in 290 ms
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/media/797e433ab948586e-s.p.479bea2b.woff2
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/chunks/fd7fa3cd3b34b4a4.css
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/chunks/279021963974e25b.css
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.3b6cae6d.woff2
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 7 ms
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 6 ms
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 6 ms
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 7 ms
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/chunks/cb37156e56443ef1.js
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/chunks/f8a9efc30b27c4a4.js
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/chunks/1fd4c7af72e6e3b4.js
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/chunks/turbopack-76c4a07ee0345740.js
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/chunks/27b2b73923fb5b87.js
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/chunks/92151b24a9198383.js
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 7 ms
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 6 ms
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 7 ms
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 7 ms
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 10 ms
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 13 ms
 HTTP  6/8/2026 7:27:23 PM ::1 GET /_next/static/chunks/121c673e382f7356.js
 HTTP  6/8/2026 7:27:23 PM ::1 Returned 200 in 22 ms
